galaxy.queue_worker INFO 2015-05-19 16:54:05,651 Initalizing main Galaxy Queue Worker on sqlalchemy+sqlite:///./database/control.sqlite?isolation_level=IMMEDIATE
tool_shed.tool_shed_registry DEBUG 2015-05-19 16:54:05,701 Loading references to tool sheds from ./config/tool_sheds_conf.xml.sample
tool_shed.tool_shed_registry DEBUG 2015-05-19 16:54:05,701 Loaded reference to tool shed: Galaxy Main Tool Shed
galaxy.app DEBUG 2015-05-19 16:54:05,701 Using "galaxy.ini" config file: /home/remi/_Dev/galaxy/config/galaxy.ini
galaxy.eggs WARNING 2015-05-19 16:54:06,413 Warning: pbr (a dependent egg of sqlalchemy-migrate) cannot be fetched
migrate.versioning.repository DEBUG 2015-05-19 16:54:06,515 Loading repository lib/galaxy/model/migrate...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,516 Loading script lib/galaxy/model/migrate/versions/0001_initial_tables.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,516 Script lib/galaxy/model/migrate/versions/0001_initial_tables.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,516 Loading script lib/galaxy/model/migrate/versions/0002_metadata_file_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,516 Script lib/galaxy/model/migrate/versions/0002_metadata_file_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,516 Loading script lib/galaxy/model/migrate/versions/0003_security_and_libraries.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,516 Script lib/galaxy/model/migrate/versions/0003_security_and_libraries.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,516 Loading script lib/galaxy/model/migrate/versions/0004_indexes_and_defaults.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,516 Script lib/galaxy/model/migrate/versions/0004_indexes_and_defaults.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,516 Loading script lib/galaxy/model/migrate/versions/0005_cleanup_datasets_fix.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,516 Script lib/galaxy/model/migrate/versions/0005_cleanup_datasets_fix.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Loading script lib/galaxy/model/migrate/versions/0006_change_qual_datatype.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Script lib/galaxy/model/migrate/versions/0006_change_qual_datatype.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Loading script lib/galaxy/model/migrate/versions/0007_sharing_histories.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Script lib/galaxy/model/migrate/versions/0007_sharing_histories.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Loading script lib/galaxy/model/migrate/versions/0008_galaxy_forms.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Script lib/galaxy/model/migrate/versions/0008_galaxy_forms.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Loading script lib/galaxy/model/migrate/versions/0009_request_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Script lib/galaxy/model/migrate/versions/0009_request_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Loading script lib/galaxy/model/migrate/versions/0010_hda_display_at_authz_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Script lib/galaxy/model/migrate/versions/0010_hda_display_at_authz_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Loading script lib/galaxy/model/migrate/versions/0011_v0010_mysql_index_fix.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Script lib/galaxy/model/migrate/versions/0011_v0010_mysql_index_fix.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Loading script lib/galaxy/model/migrate/versions/0012_user_address.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Script lib/galaxy/model/migrate/versions/0012_user_address.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Loading script lib/galaxy/model/migrate/versions/0013_change_lib_item_templates_to_forms.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Script lib/galaxy/model/migrate/versions/0013_change_lib_item_templates_to_forms.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,517 Loading script lib/galaxy/model/migrate/versions/0014_pages.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Script lib/galaxy/model/migrate/versions/0014_pages.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Loading script lib/galaxy/model/migrate/versions/0015_tagging.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Script lib/galaxy/model/migrate/versions/0015_tagging.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Loading script lib/galaxy/model/migrate/versions/0016_v0015_mysql_index_fix.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Script lib/galaxy/model/migrate/versions/0016_v0015_mysql_index_fix.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Loading script lib/galaxy/model/migrate/versions/0017_library_item_indexes.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Script lib/galaxy/model/migrate/versions/0017_library_item_indexes.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Loading script lib/galaxy/model/migrate/versions/0018_ordered_tags_and_page_tags.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Script lib/galaxy/model/migrate/versions/0018_ordered_tags_and_page_tags.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Loading script lib/galaxy/model/migrate/versions/0019_request_library_folder.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Script lib/galaxy/model/migrate/versions/0019_request_library_folder.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Loading script lib/galaxy/model/migrate/versions/0020_library_upload_job.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Script lib/galaxy/model/migrate/versions/0020_library_upload_job.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Loading script lib/galaxy/model/migrate/versions/0021_user_prefs.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Script lib/galaxy/model/migrate/versions/0021_user_prefs.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Loading script lib/galaxy/model/migrate/versions/0022_visualization_tables.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Script lib/galaxy/model/migrate/versions/0022_visualization_tables.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Loading script lib/galaxy/model/migrate/versions/0023_page_published_and_deleted_columns.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Script lib/galaxy/model/migrate/versions/0023_page_published_and_deleted_columns.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,518 Loading script lib/galaxy/model/migrate/versions/0024_page_slug_unique_constraint.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Script lib/galaxy/model/migrate/versions/0024_page_slug_unique_constraint.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Loading script lib/galaxy/model/migrate/versions/0025_user_info.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Script lib/galaxy/model/migrate/versions/0025_user_info.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Loading script lib/galaxy/model/migrate/versions/0026_cloud_tables.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Script lib/galaxy/model/migrate/versions/0026_cloud_tables.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Loading script lib/galaxy/model/migrate/versions/0027_request_events.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Script lib/galaxy/model/migrate/versions/0027_request_events.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Loading script lib/galaxy/model/migrate/versions/0028_external_metadata_file_override.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Script lib/galaxy/model/migrate/versions/0028_external_metadata_file_override.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Loading script lib/galaxy/model/migrate/versions/0029_user_actions.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Script lib/galaxy/model/migrate/versions/0029_user_actions.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Loading script lib/galaxy/model/migrate/versions/0030_history_slug_column.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Script lib/galaxy/model/migrate/versions/0030_history_slug_column.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Loading script lib/galaxy/model/migrate/versions/0031_community_and_workflow_tags.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Script lib/galaxy/model/migrate/versions/0031_community_and_workflow_tags.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Loading script lib/galaxy/model/migrate/versions/0032_stored_workflow_slug_column.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Script lib/galaxy/model/migrate/versions/0032_stored_workflow_slug_column.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0033_published_cols_for_histories_and_workflows.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0033_published_cols_for_histories_and_workflows.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0034_page_user_share_association.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0034_page_user_share_association.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0035_item_annotations_and_workflow_step_tags.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0035_item_annotations_and_workflow_step_tags.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0036_add_deleted_column_to_library_template_assoc_tables.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0036_add_deleted_column_to_library_template_assoc_tables.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0037_samples_library.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0037_samples_library.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0038_add_inheritable_column_to_library_template_assoc_tables.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0038_add_inheritable_column_to_library_template_assoc_tables.py loaded successfully
